npi,specialty_code
1003262908,13
1003263963,1
1003265562,8
1003265596,40
1003265653,41
1003267642,41
1003270463,8
1003277914,36
1003278086,3
1003278177,41
1003278425,40
1003279019,8
1003279209,16
1003279449,40
1003279480,25
1003279621,8
1003279985,66
1003287517,1
1003293093,18
1003293820,5
1003294455,40
1003294737,22
1003295544,5
1003298019,34
1003301573,40
1003311606,66
1003313453,66
1003319609,66
1003319609,89
1003330572,16
1003331000,14
1003337122,41
1003341116,41
1003341843,8
1003342023,8
1003344615,40
1003345737,7
1003347220,8
1003347527,41
1003348111,41
1003348723,9
1003348723,15
1003348921,8
1003349572,40
1003350984,1
1003359555,41
1003800368,8
1003800376,5
1003800806,34
1003801267,40
1003801358,1
1003801390,40
1003801556,5
1003802265,30
1003802463,41
1003802612,8
1003802869,5
1003803685,41
1003803685,78
1003805029,30
1003805615,1
1003805615,16
1003806498,36
1003807306,66
1003807488,8
1003807652,30
1003808494,18
1003808908,30
1003809187,8
1003809765,41
1003809823,5
1003809963,41
1003809989,13
1003810953,1
1003811340,25
1003811746,6
1003811803,40
1003811969,8
1003812348,1
1003812348,33
1003812652,40
1003812744,40
1003812751,66
1003813460,30
1003813882,66
1003814823,41
1003816141,1
1003816893,21
1003816893,22
1003817537,41
1003817693,20
1003818121,1
1003818121,8
1003818501,1
1003818873,30
1003819301,18
1003819863,2
1003819863,18
1003820358,18
1003821406,41
1003822347,2
1003822503,8
1003823162,16
1003824020,16
1003824020,16
1003824053,22
1003824673,41
1003824699,41
1003825571,4
1003826256,1
1003826256,41
1003826298,29
1003826298,41
1003826660,16
1003826728,1
1003827056,18
1003827346,1
1003827486,41
1003827486,78
1003827825,40
1003828443,40
1003828641,41
1003828641,67
1003828955,40
1003828955,45
1003828989,20
1003829326,41
1003829417,33
1003829771,40
1003830092,5
1003830118,66
1003830126,5
1003830191,41
1003830258,16
1003830316,66
1003830704,16
1003830985,30
1003831033,24
1003831033,66
1003831041,2
1003831041,28
1003831041,66
1003831066,30
1003831124,5
1003831124,8
1003831124,40
1003831447,2
1003831447,6
1003831793,8
1003832007,30
1003832346,41
1003833930,5
1003833948,41
1003834094,36
1003834789,36
1003835653,16
1003835679,41
1003835745,29
1003835745,41
1003836016,16
1003836248,2
1003836263,30
1003836370,66
1003836495,40
1003836545,40
1003836545,41
1003836594,66
1003836602,13
1003836610,29
1003836651,6
1003836719,40
1003836735,16
1003836909,41
1003836990,5
1003837386,5
1003837543,2
1003837543,41
1003837642,41
1003837675,13
1003837766,18
1003837840,17
1003838012,17
1003838012,18
1003838020,41
1003838061,5
1003838301,1
1003838327,40
1003838327,66
1003838392,18
1003838392,20
1003838541,16
1003839002,8
1003839002,41
1003839242,8
1003839846,20
1003839861,20
1003840018,29
1003840018,41
1003840307,10
1003840596,6
1003840679,41
1003841164,1
1003841180,4
1003841180,16
1003841180,47
1003841248,8
1003841248,66
1003841370,41
1003841693,40
1003841735,5
1003841800,91
1003841818,36
1003841891,22
1003841917,40
1003842675,33
1003842899,5
1003843335,13
1003843558,30
1003843699,25
1003844051,5
1003844432,1
1003844507,1
1003844507,8
1003844945,1
1003844945,10
1003844945,66
1003845785,22
1003845934,41
1003846189,40
1003846254,41
1003846379,30
1003846510,1
1003846692,30
1003847443,30
1003847583,40
1003847583,40
1003848441,41
1003848581,13
1003849233,41
1003849233,45
1003849621,41
1003849761,5
1003849829,36
1003849936,30
1003850181,66
1003850199,40
1003850215,5
1003851015,15
1003851130,30
1003851809,18
1003851858,66
1003852351,5
1003852658,66
1003852674,22
1003852690,16
1003852708,41
